Gender,Age,Dur,ppv
Male,0,20,15.19843728
Male,0,21,15.74101478
Male,0,22,16.26718854
Male,0,23,16.77744824
Male,0,24,17.27226917
Male,0,25,17.75211259
Male,0,26,18.21742616
Male,0,27,18.66864435
Male,0,28,19.10618879
Male,0,29,19.53046866
Male,0,30,19.94188108
Male,0,31,20.3408114
Male,0,32,20.7276336
Male,0,33,21.10270997
Male,0,34,21.46638864
Male,0,35,21.81900173
Male,0,36,22.16086584
Male,0,37,22.49228255
Male,0,38,22.81353893
Male,0,39,23.12490809
Male,0,40,23.42664978
Male,0,41,23.71901085
Male,0,42,24.0022259
Male,0,43,24.27651783
Male,0,44,24.54209844
Male,0,45,24.79916899
Male,0,46,25.04792082
Male,0,47,25.28853594
Male,0,48,25.52118767
Male,0,49,25.74604116
Male,0,50,25.96325408
Male,1,19,14.6375056
Male,1,20,15.19686161
Male,1,21,15.73930661
Male,1,22,16.26534544
Male,1,23,16.77546806
Male,1,24,17.27015002
Male,1,25,17.74985282
Male,1,26,18.21502435
Male,1,27,18.66609928
Male,1,28,19.10349946
Male,1,29,19.52763427
Male,1,30,19.93890099
Male,1,31,20.33768517
Male,1,32,20.72436029
Male,1,33,21.09928526
Male,1,34,21.46280245
Male,1,35,21.81523827
Male,1,36,22.15690361
Male,1,37,22.48809443
Male,1,38,22.80909228
Male,1,39,23.12016494
Male,1,40,23.4215669
Male,1,41,23.71354001
Male,1,42,23.99631406
Male,1,43,24.27010741
Male,1,44,24.53512753
Male,1,45,24.79157169
Male,1,46,25.03962753
Male,1,47,25.27947371
Male,1,48,25.5112805
Male,1,49,25.73521045
Male,1,50,25.95141902
Male,2,18,14.05939952
Male,2,19,14.63605993
Male,2,20,15.19528617
Male,2,21,15.73759869
Male,2,22,16.26350262
Male,2,23,16.7734882
Male,2,24,17.26803123
Male,2,25,17.74759344
Male,2,26,18.21262296
Male,2,27,18.66355468
Male,2,28,19.10081065
Male,2,29,19.52480045
Male,2,30,19.93592153
Male,2,31,20.33455895
Male,2,32,20.7210827
Male,2,33,21.09584577
Male,2,34,21.45918465
Male,2,35,21.81141985
Male,2,36,22.15285648
Male,2,37,22.48378482
Male,2,38,22.80448092
Male,2,39,23.11520713
Male,2,40,23.41621281
Male,2,41,23.70773485
Male,2,42,23.98999834
Male,2,43,24.26321721
Male,2,44,24.5275948
Male,2,45,24.78332457
Male,2,46,25.0305907
Male,2,47,25.26956874
Male,2,48,25.50042625
Male,2,49,25.72332351
Male,2,50,25.93840989
Male,3,17,13.46357338
Male,3,18,14.05808079
Male,3,19,14.63461445
Male,3,20,15.19371094
Male,3,21,15.73589101
Male,3,22,16.26166008
Male,3,23,16.77150866
Male,3,24,17.26591279
Male,3,25,17.74533446
Male,3,26,18.21022201
Male,3,27,18.66101057
Male,3,28,19.09812237
Male,3,29,19.5219672
Male,3,30,19.932942
Male,3,31,20.33142823
Male,3,32,20.7177898
Male,3,33,21.09237361
Male,3,34,21.4555101
Male,3,35,21.80751381
Male,3,36,22.14868401
Male,3,37,22.4793053
Male,3,38,22.79964815
Male,3,39,23.10996961
Male,3,40,23.41051393
Male,3,41,23.70151317
Male,3,42,23.98318786
Male,3,43,24.25574763
Male,3,44,24.51939196
Male,3,45,24.7743107
Male,3,46,25.02068484
Male,3,47,25.25868714
Male,3,48,25.48848282
Male,3,49,25.71022587
Male,3,50,25.92406679
Male,4,16,12.84946399
Male,4,17,13.46237823
Male,4,18,14.05676222
Male,4,19,14.63316916
Male,4,20,15.19213593
Male,4,21,15.73418358
Male,4,22,16.25981783
Male,4,23,16.76952944
Male,4,24,17.2637947
Male,4,25,17.74307587
Male,4,26,18.2078215
Male,4,27,18.65846693
Male,4,28,19.09543462
Male,4,29,19.5191338
Male,4,30,19.92995775
Male,4,31,20.32828165
Male,4,32,20.71446313
Male,4,33,21.08884286
Male,4,34,21.45174512
Male,4,35,21.80347846
Male,4,36,22.14433627
Male,4,37,22.4745974
Male,4,38,22.79452687
Male,4,39,23.10437649
Male,4,40,23.40438549
Male,4,41,23.69478124
Male,4,42,23.97577988
Male,4,43,24.24758701
Male,4,44,24.51039842
Male,4,45,24.76440066
Male,4,46,25.00977186
Male,4,47,25.24668236
Male,4,48,25.47529091
Male,4,49,25.69575265
Male,4,50,25.90821308
Male,5,15,12.21649005
Male,5,16,12.84838873
Male,5,17,13.46118321
Male,5,18,14.05544382
Male,5,19,14.63172406
Male,5,20,15.19056113
Male,5,21,15.73247641
Male,5,22,16.25797586
Male,5,23,16.76755053
Male,5,24,17.26167697
Male,5,25,17.74081767
Male,5,26,18.20542142
Male,5,27,18.65592377
Male,5,28,19.09274664
Male,5,29,19.51629548
Male,5,30,19.92695709
Male,5,31,20.32510017
Male,5,32,20.71107597
Male,5,33,21.08521879
Male,5,34,21.44784674
Male,5,35,21.7992623
Male,5,36,22.13975296
Male,5,37,22.46959195
Male,5,38,22.78903887
Male,5,39,23.09834037
Male,5,40,23.39773086
Male,5,41,23.68743316
Male,5,42,23.96765927
Male,5,43,24.23861101
